"codigo";"numero";"fecha";"catastro";"ubicacion";"calle";"forma_de_ocupacion";"b1";"b2";"b3";"b4";"b5";"n_pisos";"sub";"estado_calzada";"estado_acera";"estado_bordillo";"estado_parterre";"estado_vispeatonal";"aapp";"aass";"aall";"energia";"alumbradoPub";"telefonoFijo";"internet";"tvCable";"transportePub";"recoleccionBas";"barridoCalles";"fotografia";"forma_de_ocupacion";"plantaBaja";"primerPiso";"segundoPiso";"tercerPso";"cuartoPiso";"quintoPiso";"sextoPiso";"septimoPiso";"estado_edificacion";"relevoNombres";"relevoFecha";"revisoNombres";"revisoFecha";"revisoFirma";"aproboNombres";"aproboFecha";"aproboFirma";"sello"
"434";;"2020-02-20";"1808020103008104_";"ORQUíDEAS";"LA TRANQUILLA";"/pareada";"1";;;;;"1";;"malo";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008104_1582247177.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"435";;"2020-02-20";"1808020203017045_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";"/pareada";;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203017045_1582247233.";"vivienda";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"436";;"2020-02-20";"1808020103008099_";"ORQUíDEAS";"LA TRANQUILLA";"/pareada";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008099_1582247258.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"437";;"2020-02-20";"1808020103002005_";"EL BELéN";"ATAHUALPA";;;;;;;NULL;;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103002005_1582247328.";"vivienda/comercio";"VIVIENDA";;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"438";;"2020-02-20";"1808020103008098_";"ORQUíDEAS";"TRANQUILLA/ SIN NOMBRE";"/pareada";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008098_1582247381.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"439";;"2020-02-20";"1808020203024010_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203024010_1582247472.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"440";;"2020-02-20";"1808020203024011_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203024011_1582247581.";"/CALLE SIN NOMBRE";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"441";;"2020-02-20";"1808020203013038_";"CIUDADELA DEL CHOFER";"LAS ORQUIDEAS";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203013038_1582247602.";"/vien social";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"442";;"2020-02-20";"1808020203024012_";"EL CHOFER";"CALLE SIN NOMBRE Y CARLOS TAMAYO";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203024012_1582247688.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"443";;"2020-02-20";"1808020103002004_";"EL BELéN";"ATAHUALPA";"/pareada";"1";;;;;"1";;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103002004_1582247703.";"vivienda";"B1 / VIVIENDA";;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"444";;"2020-02-20";"1808020203021052_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203021052_1582247791.";"/AGRICOLA";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"445";;"2020-02-20";"1808020103008100_";"ORQUíDEAS";"TRANQUILLA / SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008100_1582247800.";"/CULTIVO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"446";;"2020-02-20";"1808020101008007_";"EL BELéN";"ATAHUALPA";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020101008007_1582247887.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"447";;"2020-02-20";"1808020203003015_";"EL CHOFER";"CARLOS TAMAYO";"/pareada";"1";;;;;"1";;"bueno";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203003015_1582247907.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"448";;"2020-02-20";"1808020103013019_";"LAS ORQUíDEAS";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008019_1582247947.";"/LOTE SIN ACCESO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"449";;"2020-02-20";"1808020203021002_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203021002_1582247955.";"/AGRICOLA";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"450";;"2020-02-20";"1808020102007002_";"EL BELéN";"ATAHUALPA";"/continualf";;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020102007002_1582248044.";"/culto";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"451";;"2020-02-20";"1808020203021001_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203021001_1582248072.";"/AGRICOLA";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"452";;"2020-02-20";"1808020103013018_";"ORQUíDEAS";"CALLE 1";"/continualf";"1";;;;;"1";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013018_1582248074.";"vivienda/comercio";"TIENDA SIN NOMBRE/ VIVIENDA";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"453";;"2020-02-20";"1808020203003013_";"EL CHOFER";"LUIS SALINAS";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"NO";"NO";"NO";"NO";"NO";"NO";"NO";"1808020203003013_1582248085.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"454";;"2020-02-20";"1808020102007018_";"EL BELéN";"HéROES DEL 41";"/pareada";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020102007018_1582248145.";"vivienda/comercio";"VIVIENDA / LOCAL DE ARRIENDO";;;;;;;;"regular";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"455";;"2020-02-20";"1808020103013017_";"ORQUíDEAS";"CALLE 1";"/pareada";"1";;;;;"1";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013017_1582248170.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"456";;"2020-02-20";"1808020203003010_";"EL CHOFER";"LUIS SALINAS";"/pareada";"1";;;;;"1";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203003010_1582248181.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"457";;"2020-02-20";"1808020203012007_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203012007_1582248194.";"/AGRICOLA";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"458";;"2020-02-20";"1808020103013004_";"ORQUíDEAS";"CALLE 1";"/continua";"1";;;;;"1";;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013004_1582248254.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"459";;"2020-02-20";"1808020102007019_";"EL BELéN";"HéROES DEL 41";"/pareada";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020102007019_1582248277.";"vivienda";"VIVIENDA";;;;;;;;"bueno";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"460";;"2020-02-20";"1808020203003008_";"EL CHOFER";"LUIS SALINAS";"/pareada";"3";;;;;"3";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203003008_1582248297.";"vivienda";"VIVIENDA";"VIVIENDA";"VIVIENDA";;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"461";;"2020-02-20";"1808020203011015_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011015_1582248311.";"/AGRICOLA";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"462";;"2020-02-20";"1808020102007020_";"EL BELéN";"HéROES DEL 41";"/pareada";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020102007020_1582248359.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"bueno";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"463";;"2020-02-20";"1808020103013012_";"ORQUíDEAS";"CALLE 1";"/pareada";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013012_1582248371.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"464";;"2020-02-20";"1808020203003006_";"EL CHOFER";"LUIS SALINAS";"/continua";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"18080202030003006_1582248422.";"vivienda/comercio";"LOCALES COMERCIALES PARA ARRIENDO SN";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"4193";;"2020-02-29";"1808570305011015_";"SAN MIGUELITO";"LOS GUAYTAMBOS";"/continualf";"1";"2";;;;"2";;"bueno";"bueno";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808570305011015_1583006404.";"vivienda/comercio";"B1 MINI MARKET DON LUIS / VIVIENDA     B2 VIVIENDA";"B2 VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-29";NULL;NULL;;NULL;NULL;;
"466";;"2020-02-20";"1808020102007022_";"EL BELéN";"HéROES DEL 41";"/pareada";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020102007022_1582248434.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"bueno";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"467";;"2020-02-20";"1808020203003004_";"EL CHOFER";"LUIS SALINAS";"/continua";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203003004_1582248500.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"468";;"2020-02-20";"1808020102007021_";"EL BELéN";"HéROES DEL 41";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020102007021_1582248500.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"469";;"2020-02-20";"1808020103013013_";"ORQUíDEAS";"CALLE 1";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013013_1582248507.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"470";;"2020-02-20";"1808020203011014_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";"/continua";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011013_1582248551.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"471";;"2020-02-20";"1808020203003002_";"EL CHOFER";"LUIS SALINAS";"/continua";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203003002_1582248579.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"472";;"2020-02-20";"1808020102007001_";"EL BELéN";"HéROES DEL 41";"/continualf";"2";;;;;"2";;"bueno";"malo";"regular";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020102007001_1582248604.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"bueno";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"473";;"2020-02-20";"1808020203011013_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011013_1582248653.";"/AGRICOLA";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"474";;"2020-02-20";"1808020103013014_";"ORQUíDEAS";"CALLE 2";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013014_1582248691.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"475";;"2020-02-20";"1808020102007003_";"EL BELéN";"ATAHUALPA";;;;;;;NULL;;"bueno";"malo";"**inexistente**";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020102007003_1582248718.";"/AGRíCOLA";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"476";;"2020-02-20";"1808020103013015_";"ORQUíDEAS";"CALLE 1";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"NO";"SI";"NO";"NO";"NO";"1808020103013015_1582248775.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"477";;"2020-02-20";"1808020103001004_";"EL BELéN";"HéROES DEL 41";"/pareada";"1";;;;;"1";;"bueno";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103001004_1582248830.";"vivienda";"VIVIENDA";;;;;;;;"regular";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"478";;"2020-02-20";"1808020103013016_";"ORQUíDEAS";"CALLE 1";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103013016_1582248870.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"479";;"2020-02-20";"1808020103007011_";"ORQUíDEAS";"CALLE 1";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103007011_1582248958.";"/CULTIVO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"480";;"2020-02-20";"1808020203003001_";"EL CHOFER";"AV. RUMIñAHUI Y CARLOS TAMAYO";"/continua";"2";;;;;"2";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808020203003001_1582248964.";"vivienda/comercio";"VIVIENDA / TALLER MECANICO";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"481";;"2020-02-20";"1808020103001002_";"EL BELéN";"ATAHUALPA";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103001002_1582248966.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"482";;"2020-02-20";"1808020103001017_";"EL BELéN";"SIN NOMBRE";"/pareada";"2";;;;;"2";;"malo";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103001017_1582249042.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"regular";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"483";;"2020-02-20";"1808020203011012_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";"/continua";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011012_1582249049.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"484";;"2020-02-20";"1808020203003029_";"EL CHOFER";"AV. RUMIñAHUI";"/continualf";"1";;;;;"1";;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808020203003029_1582249099.";;"VIVIENDA";;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"485";;"2020-02-20";"1808020103007013_";"ORQUíDEAS";"CALLE 1";;;;;;;NULL;;"bueno";"malo";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"1808020103007013_1582249118.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"486";;"2020-02-20";"1808020103002010_";"EL BELéN";"SIN NOMBRE";;;;;;;NULL;;"malo";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103002010_1582249133.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"487";;"2020-02-20";"1808020203011011_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";"/continua";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011011_1582249171.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"488";;"2020-02-20";"1808020103001015_";"EL BELéN";"SIN NOMBRE";;;;;;;NULL;;"malo";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103001015_1582249219.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"489";;"2020-02-20";"1808020203011010_";"COUDADELA DEL CHOFER";"CALLE SIN NOMBRE";"/continua";;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011010_1582249263.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"490";;"2020-02-20";"1808020103001014_";"EL BELéN";"SIN NOMBRE";;;;;;;NULL;;"malo";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103001014_1582249305.";"/AGRíCOLA";;;;;;;;;"**inexistente**";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"491";;"2020-02-20";"1808020203002029_";"EL CHOFER";"AV. RUMIñAHUI Y LUIS SALINAS";"/pareada";"1";;;;;"1";;"malo";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"1808020203002029_1582249334.";"vivienda";"VIVIENDA";;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"492";;"2020-02-20";"1808020203011009_";"CIUDADELA DEL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203011009_1582249367.";"/VACIO";;;;;;;;;"**inexistente**";"FERNANDO VIERA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"493";;"2020-02-20";"1808020103008059_";"ORQUíDEAS";"CALLE 1 / CALLE UNIóN";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008059_1582249400.";"/LOTE VACíO";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
"494";;"2020-02-20";"1808020103001013_";"EL BELéN";"SIN NOMBRE";"/pareada/ocup_ret_fron";"2";;;;;"2";;"malo";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020103001013_1582249417.";"vivienda/comercio";"TIENDA S/N / VIVIENDA";"VIVIENDA";;;;;;;"bueno";"CARLOS VELASTEGUI";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"495";;"2020-02-20";"1808020203002027_";"EL CHOFER";"LUIS SALINAS";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203002027_1582249443.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-20";;"0000-00-00";;;"0000-00-00";;
