"codigo";"numero";"fecha";"catastro";"ubicacion";"calle";"forma_de_ocupacion";"b1";"b2";"b3";"b4";"b5";"n_pisos";"sub";"estado_calzada";"estado_acera";"estado_bordillo";"estado_parterre";"estado_vispeatonal";"aapp";"aass";"aall";"energia";"alumbradoPub";"telefonoFijo";"internet";"tvCable";"transportePub";"recoleccionBas";"barridoCalles";"fotografia";"forma_de_ocupacion";"plantaBaja";"primerPiso";"segundoPiso";"tercerPso";"cuartoPiso";"quintoPiso";"sextoPiso";"septimoPiso";"estado_edificacion";"relevoNombres";"relevoFecha";"revisoNombres";"revisoFecha";"revisoFirma";"aproboNombres";"aproboFecha";"aproboFirma";"sello"
"13";;"2020-02-20";"1808020203015009_";"29 DE JULIO";"S/D";"/continua";"2";;;;;"2";;"regular";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015009_1582227144.";"vivienda";"VIVIENDA";"VIVIENDA";"VIVIENDA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"14";;"2020-02-20";"1808020203025017_";"EL CHOFER";"CALLE SIN NOMBRE";"/continua";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025017_1582227271.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"15";;"2020-02-20";"1808020203025018_";"EL CHOFER";"CALLE SIN NIMBRE";"/continua";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025018_1582227445.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"16";;"2020-02-20";"1808020203025019_";"EL CHOFER";"CALLE SIN NOMBRE";"/continua";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025019_1582227586.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"17";;"2020-02-20";"1808020103008079_";"LAS ORQUíDEAS";"CALLE 2";"/pareada";"2";;;;;"2";;"bueno";"malo";"regular";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"NO";"1808020103008079_1582227589.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"18";;"2020-02-20";"1808020203025020_";"EL CHóFER";"CALLE SIN NOMBRE";"/pareada";"2";;;;;"2";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025020_1582227690.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"19";;"2020-02-20";"1808020203015008_";"29 DE JULIO";"S/D";"/pareada";"2";;;;;"2";;"regular";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015008_1582227792.";"vivienda";"EN CONSTRUCCIóN";"EN CONSTRUCCIóN";;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"20";;"2020-02-20";"1808020103008077_";"ORQUíDEAS";"CALLE 2";"/continua";"2";;;;;"2";;"bueno";"malo";"regular";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008077_1582227794.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"21";;"2020-02-20";"1808020203025021_";"EL CHOFER";"CALLE SIN NOMBRE";;;;;;;NULL;;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025021_1582227818.";"/LOTE VACIO";;;;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"22";;"2020-02-20";"1808020203025022_";"EL CHOFER";"CALLE SIN NOMBRE";"/pareada";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025022_1582227977.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"23";;"2020-02-20";"1808020203015007_";"29 DE JULIO";"S/D";"aislada";"1";;;;;"1";;"regular";"regular";"regular";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015007_1582228006.";"vivienda/comercio";"VIVIENDA / MEGACOMPU";;;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"24";;"2020-02-20";"1808020103008076_";"ORQUIDEAS";"CALLE 2";"/pareada";"2";;;;;"2";;"bueno";"regular";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020103008076_1582228016.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"25";;"2020-02-20";"1808020203015029_";"29 DE JULIO";"NARVáEZ";"/continua";"3";;;;;"3";;"regular";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015029_1582228097.";"vivienda";"VIVIENDA";"VIVIENDA";"TERRAZA";;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"26";;"2020-02-20";"1808020203025023_";"EL CHOFER";"CALLE SIN NOMBRE";"/pareada";"1";;;;;"1";;"malo";"malo";"malo";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"NO";"1808020203025023_1582228124.";"vivienda";"VIVIEND";"VIVIENDA";;;;;;;"**inexistente**";"SANDRA QUISHPE";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"27";;"2020-02-20";"1808020203015014_";"29 DE JULIO";"NARVáEZ";"/continua";"2";;;;;"2";;"regular";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"SI";"NO";"SI";"SI";"SI";"SI";"SI";"NO";"SI";"NO";"1808020203015014_1582228172.";"vivienda";"VIVIENDA";"VIVIENDA";;;;;;;"**inexistente**";"LENIN SANTIAGO MOYA ÁLVAREZ";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
"28";;"2020-02-20";"1808020103008075_";"ORQUíDEAS";"CALLE 2";;;;;;;NULL;;"bueno";"bueno";"bueno";"**inexistente**";"**inexistente**";"SI";"NO";"NO";"SI";"SI";"SI";"SI";"SI";"SI";"NO";"NO";"1808020103008075_1582228202.";"/CULTIVO DE MAIZ";;;;;;;;;"**inexistente**";"JENNY ESPARZA";"2020-02-19";;"0000-00-00";;;"0000-00-00";;
